subject_id,file,yaw,class,pose
1,1/frames_175312.png,-34.0215,0,2.0
1,1/frames_189228.png,9.5437,0,2.0
1,1/frames_192586.png,-85.1591,0,2.0
1,1/frames_193264.png,11.9553,0,2.0
1,1/frames_193432.png,10.4767,0,2.0
1,1/frames_194774.png,45.8015,0,2.0
1,1/frames_22645.png,56.5114,0,2.0
1,1/frames_22646.png,31.3036,0,2.0
1,1/frames_22647.png,72.7514,0,2.0
1,1/frames_22648.png,33.5806,0,2.0
1,1/frames_22649.png,-1.50752,0,2.0
1,1/frames_22650.png,35.8832,0,2.0
1,1/frames_24362.png,24.6062,0,2.0
1,1/frames_24366.png,76.0266,0,2.0
1,1/frames_5246.png,20.3463,0,2.0
1,1/frames_5247.png,29.4002,0,2.0
1,1/frames_5248.png,27.7986,0,2.0
1,1/img_116526.jpg,-10.1468,0,2.0
1,1/img_1604.jpg,-7.18328,0,2.0
1,1/img_2416.jpg,-1.7182099999999998,0,2.0
1,1/img_2597.jpg,31.8839,0,2.0
1,1/img_4702.jpg,16.3153,0,2.0
1,1/img_5127.jpg,-6.64427,0,2.0
4,4/frames_12268.png,22.364,1,2.0
4,4/frames_12269.png,35.0941,1,2.0
4,4/frames_12408.png,21.5225,1,2.0
4,4/frames_12409.png,18.2327,1,2.0
4,4/frames_12410.png,16.3976,1,2.0
4,4/frames_12411.png,19.7692,1,2.0
4,4/frames_12412.png,55.1656,1,2.0
4,4/frames_12413.png,46.2881,1,2.0
4,4/frames_12415.png,10.1251,1,2.0
4,4/frames_12416.png,19.7466,1,2.0
4,4/frames_12417.png,15.0831,1,2.0
4,4/frames_12418.png,10.3344,1,2.0
4,4/frames_12419.png,20.8642,1,2.0
4,4/frames_12420.png,10.0313,1,2.0
4,4/frames_12421.png,-7.10467,1,2.0
4,4/frames_12422.png,-16.3607,1,2.0
4,4/frames_12423.png,-23.0392,1,2.0
4,4/frames_12424.png,-18.7206,1,2.0
4,4/frames_12426.png,-13.4293,1,2.0
4,4/frames_12427.png,-29.2747,1,2.0
4,4/frames_12428.png,-29.0417,1,2.0
4,4/frames_12429.png,-31.8882,1,2.0
4,4/frames_12430.png,-25.901,1,2.0
4,4/frames_12431.png,-25.7859,1,2.0
4,4/frames_12432.png,-23.5815,1,2.0
4,4/frames_12433.png,-32.8509,1,2.0
4,4/frames_12435.png,23.4827,1,2.0
4,4/frames_12439.png,-41.5395,1,2.0
4,4/frames_12440.png,-34.9463,1,2.0
4,4/frames_12450.png,13.9925,1,2.0
4,4/frames_12452.png,24.4176,1,2.0
4,4/frames_12453.png,26.804,1,2.0
4,4/frames_12454.png,23.7141,1,2.0
4,4/frames_12455.png,-14.3889,1,2.0
4,4/frames_12456.png,-21.6557,1,2.0
4,4/frames_12457.png,-20.9031,1,2.0
4,4/frames_12458.png,-14.0959,1,2.0
4,4/frames_12459.png,-15.7381,1,2.0
4,4/frames_12460.png,25.6921,1,2.0
4,4/frames_12461.png,21.3318,1,2.0
4,4/frames_12462.png,-11.617,1,2.0
4,4/frames_12463.png,10.4206,1,2.0
4,4/frames_12464.png,23.5873,1,2.0
4,4/frames_12465.png,24.264,1,2.0
4,4/frames_12467.png,36.5365,1,2.0
4,4/frames_12468.png,-22.9609,1,2.0
4,4/frames_12469.png,-19.2006,1,2.0
4,4/frames_12470.png,-21.7133,1,2.0
4,4/frames_12471.png,-16.9867,1,2.0
4,4/frames_12472.png,-25.0859,1,2.0
4,4/frames_12473.png,24.0351,1,2.0
4,4/frames_12474.png,23.3787,1,2.0
4,4/frames_12475.png,25.4247,1,2.0
4,4/frames_12476.png,24.7093,1,2.0
4,4/frames_12477.png,4.1131,1,2.0
4,4/frames_12478.png,-21.7374,1,2.0
4,4/frames_12479.png,-18.3042,1,2.0
4,4/frames_12480.png,-18.7975,1,2.0
4,4/frames_12481.png,-15.7846,1,2.0
4,4/frames_12482.png,-19.3398,1,2.0
4,4/frames_12483.png,25.2908,1,2.0
4,4/frames_12484.png,27.435,1,2.0
4,4/frames_12485.png,2.89227,1,2.0
4,4/frames_12486.png,-14.8298,1,2.0
4,4/frames_12487.png,-15.7886,1,2.0
4,4/frames_12488.png,-16.6616,1,2.0
4,4/frames_12489.png,7.683610000000002,1,2.0
4,4/frames_12490.png,25.3049,1,2.0
4,4/frames_12491.png,26.7478,1,2.0
4,4/frames_12492.png,-20.8371,1,2.0
4,4/frames_17374.png,25.7421,1,2.0
4,4/frames_17375.png,24.8102,1,2.0
4,4/frames_17376.png,26.4544,1,2.0
4,4/frames_17377.png,26.9512,1,2.0
4,4/frames_17378.png,-8.47475,1,2.0
4,4/frames_17379.png,-15.0555,1,2.0
4,4/frames_17380.png,-21.5221,1,2.0
4,4/frames_17381.png,-15.4099,1,2.0
4,4/frames_17382.png,-15.2444,1,2.0
4,4/frames_17383.png,18.9224,1,2.0
4,4/frames_17384.png,26.7116,1,2.0
4,4/frames_17385.png,26.5498,1,2.0
4,4/frames_17386.png,22.8996,1,2.0
4,4/frames_17387.png,-16.1148,1,2.0
4,4/frames_17388.png,-23.4967,1,2.0
4,4/frames_17389.png,-14.0484,1,2.0
4,4/frames_17390.png,22.1772,1,2.0
4,4/frames_17391.png,26.0893,1,2.0
4,4/frames_17392.png,25.2838,1,2.0
4,4/frames_17393.png,-22.2231,1,2.0
4,4/frames_17394.png,-19.3901,1,2.0
