anc_paths,compair_paths
21/frames_9210.png,21/frames_9799.png
27/frames_22108.png,27/frames_5251.png
28/frames_5675.png,28/frames_15991.png
44/frames_51604.png,44/img_4985.jpg
148/frames_13200.png,148/frames_8247.png
260/frames_23316.png,260/frames_9149.png
295/img_3912.jpg,295/frames_9191.png
297/frames_5672.png,297/frames_20074.png
298/frames_9740.png,298/frames_25189.png
299/frames_16755.png,299/frames_11272.png
301/img_5038.jpg,301/frames_14895.png
351/frames_14864.png,351/img_1682.jpg
466/frames_10667.png,466/img_3738.jpg
473/img_4815.png,473/img_39530.jpg
527/frames_15869.png,527/frames_10257.png
570/frames_42729.png,570/frames_42709.png
788/img_4102.jpg,788/frames_11044.png
936/frames_5784.png,936/frames_5761.png
961/frames_19160.png,961/frames_19162.png
1014/frames_6017.png,1014/frames_6012.png
1079/frames_6194.png,1079/frames_6268.png
1425/frames_7028.png,1425/frames_7033.png
1818/img_2473.jpg,1818/img_40.png
1956/frames_23563.png,1956/frames_9515.png
2132/frames_21615.png,2132/frames_23540.png
2514/frames_437024.png,2514/img_440632.jpg
2846/frames_62596.png,2846/frames_62601.png
2929/frames_399698.png,2929/frames_423790.png
3045/frames_66526.png,3045/img_66285.jpg
3310/img_448808.jpg,3310/frames_377498.png
3329/frames_72081.png,3329/frames_72020.png
3490/frames_73794.png,3490/frames_73789.png
3496/frames_74035.png,3496/frames_74091.png
3506/frames_346621.png,3506/img_30826.jpg
3583/frames_77943.png,3583/frames_77939.png
3702/frames_79463.png,3702/img_79460.jpg
10016/img_107783.jpg,10016/frames_127090.png
10049/img_102312.jpg,10049/img_101882.jpg
11773/img_109929.jpg,11773/frames_147265.png
11989/img_108638.jpg,11989/frames_130633.png
12145/frames_402001.png,12145/frames_401517.png
12446/frames_161038.png,12446/frames_134305.png
12561/frames_164809.png,12561/frames_158117.png
12585/frames_161632.png,12585/frames_162333.png
12620/img_113759.jpg,12620/img_113065.jpg
12693/img_115076.jpg,12693/img_114423.jpg
12725/img_114669.jpg,12725/img_114430.jpg
12754/frames_148545.png,12754/frames_148609.png
12783/frames_174650.png,12783/frames_171908.png
12815/img_4015.jpg,12815/frames_16371.png
12957/frames_142803.png,12957/frames_143086.png
12976/img_117344.jpg,12976/frames_183747.png
13086/img_118012.jpg,13086/img_117398.jpg
13110/frames_221012.png,13110/frames_220000.png
13135/img_118649.jpg,13135/img_118343.jpg
13136/img_118670.jpg,13136/img_119257.jpg
13146/frames_190456.png,13146/img_119187.jpg
13149/img_118319.jpg,13149/frames_194148.png
13206/img_118749.jpg,13206/frames_221684.png
13232/img_119268.jpg,13232/img_118483.jpg
13250/img_118990.jpg,13250/frames_193039.png
13261/img_120573.jpg,13261/frames_171631.png
13275/frames_218050.png,13275/frames_217826.png
13325/img_119785.jpg,13325/img_450110.jpg
13328/frames_214336.png,13328/frames_216358.png
13331/frames_21015.png,13331/frames_21082.png
13365/img_119646.jpg,13365/frames_213451.png
13380/frames_209484.png,13380/frames_214882.png
13391/frames_212524.png,13391/frames_212942.png
13412/frames_218097.png,13412/frames_217677.png
13418/frames_169260.png,13418/img_119720.jpg
13423/img_120592.jpg,13423/img_120633.jpg
13456/img_120882.jpg,13456/img_119810.jpg
13479/frames_214248.png,13479/frames_213740.png
13500/frames_199174.png,13500/frames_198737.png
13567/frames_207333.png,13567/img_122181.jpg
13571/frames_207373.png,13571/img_122116.jpg
13855/frames_6689.png,13855/img_243.jpg
13869/img_125023.jpg,13869/frames_177888.png
13883/frames_178397.png,13883/frames_178658.png
13902/frames_205646.png,13902/frames_205286.png
13926/img_123943.jpg,13926/img_125323.jpg
13977/frames_180069.png,13977/frames_180167.png
14085/frames_202758.png,14085/frames_201588.png
26984/img_449482.jpg,26984/frames_381645.png
26991/img_449760.jpg,26991/frames_364193.png
26996/frames_413354.png,26996/frames_358463.png
27017/frames_391749.png,27017/frames_430161.png
27029/frames_403222.png,27029/frames_378751.png
27040/img_450935.jpg,27040/frames_410737.png
27046/frames_399016.png,27046/frames_358068.png
27064/frames_410919.png,27064/frames_430927.png
27077/frames_357910.png,27077/frames_359343.png
27083/frames_427226.png,27083/frames_364522.png
27124/img_449083.jpg,27124/img_449213.jpg
27160/img_451206.jpg,27160/frames_382356.png
27171/frames_429614.png,27171/frames_417932.png
27180/img_450558.jpg,27180/frames_414040.png
27262/frames_373000.png,27262/frames_401218.png
27313/frames_431847.png,27313/img_447996.jpg
27350/frames_367055.png,27350/frames_408019.png
27354/frames_358504.png,27354/frames_341600.png
27362/frames_367645.png,27362/frames_367709.png
27376/frames_370322.png,27376/frames_349004.png
27412/frames_396006.png,27412/frames_428092.png
27417/frames_421503.png,27417/frames_355451.png
27483/img_452218.jpg,27483/frames_422421.png
27487/img_447429.jpg,27487/frames_421795.png
27513/frames_390124.png,27513/img_448051.jpg
