anc_paths,compair_paths
27/frames_22108.png,25/img_4929.jpg
28/frames_5675.png,27615/img_445090.jpg
41/frames_10890.png,9811/frames_126836.png
60/frames_8987.png,28040/img_451525.jpg
62/frames_11095.png,27507/frames_345421.png
86/frames_14409.png,27667/img_448207.jpg
102/frames_13036.png,41/frames_70606.png
117/frames_8026.png,28486/frames_384650.png
136/frames_24837.png,9971/frames_129901.png
225/frames_23342.png,654/frames_17246.png
226/img_1774.jpg,28499/img_444080.jpg
231/frames_390569.png,1573/frames_7324.png
282/frames_9201.png,13137/frames_189870.png
284/frames_9795.png,28753/frames_429756.png
294/frames_11140.png,13977/img_124498.jpg
296/frames_11126.png,27420/frames_403967.png
297/frames_5672.png,13939/frames_434666.png
298/frames_9740.png,12620/img_113774.jpg
356/frames_9779.png,9821/frames_126129.png
383/frames_20251.png,27460/frames_364627.png
415/img_2879.jpg,570/frames_42711.png
419/frames_10433.png,3363/img_71286.jpg
466/frames_10667.png,2476/frames_52629.png
481/frames_11801.png,28626/frames_341562.png
510/img_710.jpg,27575/frames_421481.png
566/frames_11884.png,12446/frames_131689.png
570/frames_42729.png,12781/frames_424475.png
581/frames_42255.png,27088/frames_409276.png
595/frames_70452.png,705/img_3366.png
653/frames_227536.png,27507/frames_425586.png
654/frames_17253.png,12693/img_114863.jpg
705/img_3366.png,1647/frames_37837.png
741/frames_57288.png,27724/img_443345.jpg
751/frames_70849.png,27653/frames_407802.png
961/frames_19160.png,13329/frames_214926.png
1014/frames_6017.png,28177/frames_438181.png
1079/frames_6194.png,27827/frames_346221.png
1383/img_491.jpg,27930/frames_382336.png
1527/frames_22619.png,27350/frames_395349.png
1559/frames_18860.png,13175/img_119284.jpg
1809/frames_19181.png,13476/frames_171110.png
1826/frames_53917.png,294/frames_11140.png
2001/img_3734.jpg,13454/img_120398.jpg
2021/frames_73279.png,27339/frames_399252.png
2031/frames_14582.png,214/frames_8908.png
2038/frames_227775.png,12574/frames_157772.png
2476/frames_52527.png,9971/frames_127648.png
2491/frames_55036.png,28914/frames_344115.png
3028/frames_66223.png,27124/frames_439644.png
3363/frames_72613.png,13476/frames_170864.png
3490/frames_73794.png,28622/frames_351937.png
3506/frames_346621.png,1155/frames_16601.png
9769/frames_129086.png,13939/frames_206490.png
9821/frames_127753.png,12929/img_117324.jpg
9825/frames_219570.png,28649/frames_384498.png
9834/frames_129947.png,28740/frames_376487.png
11773/img_109929.jpg,14143/frames_204197.png
12557/frames_160918.png,371/frames_20239.png
12574/frames_133301.png,12763/img_114659.jpg
12620/img_113759.jpg,28019/frames_429887.png
12639/img_115508.jpg,27002/img_449340.jpg
12649/img_114432.jpg,27420/frames_388666.png
12725/img_114669.jpg,12639/frames_152023.png
12779/frames_165957.png,28173/frames_371430.png
13005/img_117120.jpg,28142/frames_436946.png
13010/img_117593.jpg,3506/frames_350356.png
13082/img_117847.jpg,102/frames_13038.png
13120/img_119416.jpg,13866/img_124259.jpg
13149/img_118319.jpg,13275/frames_217826.png
13161/img_118689.jpg,9834/img_102233.jpg
13189/img_119467.jpg,1534/frames_12365.png
13219/frames_194113.png,27513/frames_364469.png
13232/img_119268.jpg,2132/frames_21602.png
13331/frames_21015.png,14105/frames_176059.png
13364/frames_168688.png,28215/frames_406869.png
13365/img_119646.jpg,27879/frames_395523.png
13380/frames_209484.png,1430/frames_8486.png
13408/img_120380.jpg,138/frames_18720.png
13412/frames_218097.png,28787/img_452146.jpg
13428/frames_212310.png,28087/frames_412636.png
13454/frames_216583.png,27497/frames_389439.png
13456/img_120882.jpg,27362/frames_349414.png
13476/frames_171081.png,13120/img_118729.jpg
13485/frames_22677.png,27771/frames_349032.png
13515/img_121650.jpg,28149/frames_397346.png
13545/frames_170493.png,13515/frames_197730.png
13554/img_121865.jpg,27736/frames_348622.png
13567/frames_207333.png,28167/frames_382873.png
13568/img_121666.jpg,28515/frames_343804.png
13869/img_125023.jpg,27498/frames_437592.png
13880/img_124898.jpg,27630/frames_375162.png
13896/frames_207014.png,28807/frames_352098.png
13898/frames_205293.png,13380/frames_212654.png
13926/img_123943.jpg,12781/frames_389752.png
13939/img_124269.jpg,27434/frames_398792.png
