anc_paths,compair_paths
21/frames_9219.png,214/img_549.jpg
44/frames_10643.png,2538/frames_57116.png
102/frames_7993.png,12649/img_115319.jpg
117/frames_8089.png,28498/img_447623.png
213/frames_13936.png,2491/frames_55266.png
259/img_2014.jpg,28823/img_449821.png
260/frames_19338.png,28643/frames_414855.png
284/frames_9795.png,28417/frames_437201.png
295/frames_9191.png,27302/frames_375962.png
296/frames_11128.png,28486/frames_384650.png
299/frames_11272.png,13328/frames_216590.png
313/frames_14252.png,13485/img_3511.jpg
371/img_1809.jpg,27513/frames_435514.png
387/frames_15333.png,28491/img_441170.jpg
415/frames_5227.png,351/frames_14866.png
466/frames_15783.png,28594/frames_347724.png
566/img_5037.jpg,28778/frames_344486.png
567/frames_5231.png,27350/frames_395595.png
637/frames_54843.png,28626/frames_411303.png
654/img_3495.jpg,12925/frames_141080.png
705/img_4721.jpg,26991/frames_364193.png
1289/img_3310.jpg,27497/frames_387430.png
1296/frames_357019.png,13136/img_118401.jpg
1527/frames_22619.png,27879/frames_413692.png
1727/frames_8680.png,28778/frames_344486.png
1818/frames_8735.png,28834/frames_387198.png
2001/img_836.jpg,27376/frames_382850.png
2031/img_3544.jpg,12826/img_115985.jpg
2491/frames_55180.png,705/img_1740.jpg
2538/frames_57119.png,28914/frames_389447.png
2846/img_62534.jpg,282/frames_14230.png
2929/img_450494.jpg,27690/frames_418602.png
3045/frames_66529.png,28883/frames_369618.png
3435/img_72891.jpg,313/img_1700.jpg
3490/frames_73795.png,12932/img_117061.jpg
9769/frames_126215.png,62/frames_11100.png
10016/img_107783.jpg,28535/frames_412574.png
12446/frames_131709.png,296/frames_11123.png
12574/frames_209235.png,28474/frames_410766.png
12585/frames_157450.png,28525/frames_405986.png
12779/frames_166077.png,1826/frames_53972.png
12808/frames_172657.png,13545/frames_170640.png
12826/img_116216.jpg,27354/frames_358504.png
12923/img_117824.jpg,3045/frames_66529.png
12929/frames_184180.png,356/img_4955.jpg
12962/frames_169595.png,28417/frames_383869.png
13149/img_118319.jpg,14117/img_143577.jpg
